         1          1        307
         1          1        443
         1          1        470
         1          1        723
         1          1        973
         2          2          3
         2          2        111
         2          2        451
         2          2        487
         2          2        488
         2          2        523
         2          2        647
         2          2        764
         3          3        595
         3          3        764
         4          4          3
         4          4        111
         4          4        451
         4          4        487
         4          4        488
         4          4        523
         5          5        307
         5          5        443
         5          5        470
         5          5        723
         5          5        973
         6          6         26
         6          6        238
         6          6        570
         6          6        595
         6          6        628
         6          6        647
         6          6        738
         6          6        764
         7          7          3
         7          7        111
         7          7        451
         7          7        487
         7          7        488
         7          7        523
         7          7        595
         7          7        705
         7          7        961
         8          8         26
         8          8        238
         8          8        570
         8          8        628
         9          9          3
         9          9        111
         9          9        451
         9          9        487
         9          9        488
         9          9        523
        10         10          3
        10         10        111
        10         10        451
        10         10        487
        10         10        488
        10         10        523
        10         10        595
        10         10        764
        11         11          3
        11         11        111
        11         11        451
        11         11        487
        11         11        488
        11         11        523
        12         12        598
        12         12        628
        12         12        729
        13         13         26
        13         13        238
        13         13        570
        13         13        628
        14         14          3
        14         14        111
        14         14        451
        14         14        487
        14         14        488
        14         14        523
        15         15         48
        15         15        595
        15         15        610
        15         15        764
        15         15        885
        15         15        973
        16         16        402
        16         16        598
        16         16        628
        16         16        729
        16         16        778
        17         17          3
        17         17        111
        17         17        451
        17         17        487
        17         17        488
        17         17        523
        18         18          3
        18         18        111
        18         18        451
        18         18        487
        18         18        488
        18         18        523
        19         19        111
        19         19        238
        19         19        395
        19         19        451
        19         19        487
        19         19        488
        19         19        523
        20         20        402
        20         20        778
        21         21          3
        21         21        111
        21         21        451
        21         21        487
        21         21        488
        21         21        523
        22         22          3
        22         22        111
        22         22        247
        22         22        443
        22         22        451
        22         22        487
        22         22        523
        22         22        634
        23         23          3
        23         23        111
        23         23        451
        23         23        487
        23         23        488
        23         23        523
        24         24        307
        24         24        443
        24         24        470
        24         24        480
        24         24        595
        24         24        629
        24         24        634
        24         24        723
        24         24        764
        24         24        950
        24         24        973
        24         24        998
        25         25        402
        25         25        647
        25         25        705
        25         25        738
        25         25        764
        25         25        961
        26         26        506
        26         26        764
        27         27         26
        27         27        238
        27         27        570
        27         27        628
        28         28        595
        28         28        764
        29         29          3
        29         29        111
        29         29        487
        29         29        488
        29         29        523
        29         29        738
        29         29        764
        30         30        598
        30         30        628
        30         30        729
        31         31        247
        31         31        443
        31         31        470
        31         31        480
        31         31        598
        31         31        629
        31         31        634
        31         31        729
        31         31        950
        31         31        998
        32         32          3
        32         32        111
        32         32        451
        32         32        487
        32         32        488
        32         32        523
        33         33         26
        33         33        238
        33         33        247
        33         33        443
        33         33        470
        33         33        570
        33         33        628
        33         33        634
        34         34         48
        34         34        402
        34         34        470
        34         34        610
        34         34        778
        34         34        885
        34         34        973
        35         35        307
        35         35        443
        35         35        470
        35         35        598
        35         35        628
        35         35        723
        35         35        729
        35         35        973
        36         36          3
        36         36        111
        36         36        451
        36         36        480
        36         36        487
        36         36        488
        36         36        523
        36         36        629
        36         36        634
        36         36        998
        37         37          3
        37         37        111
        37         37        451
        37         37        487
        37         37        488
        37         37        523
        38         38          3
        38         38        111
        38         38        451
        38         38        487
        38         38        488
        38         38        523
        39         39        307
        39         39        470
        39         39        723
        39         39        973
        40         40          3
        40         40        111
        40         40        451
        40         40        487
        40         40        488
        40         40        523
        40         40        647
        40         40        738
        40         40        764
        41         41        307
        41         41        443
        41         41        598
        41         41        723
        41         41        729
        41         41        973
        42         42        506
        42         42        647
        42         42        738
        42         42        764
        43         43         26
        43         43        238
        43         43        402
        43         43        480
        43         43        570
        43         43        628
        43         43        634
        43         43        950
        43         43        998
        44         44        169
        44         44        423
        44         44        432
        44         44        647
        45         45          3
        45         45        111
        45         45        487
        45         45        488
        45         45        523
        46         46          3
        46         46         26
        46         46        111
        46         46        238
        46         46        451
        46         46        487
        46         46        488
        46         46        523
        46         46        570
        46         46        595
        46         46        628
        46         46        764
        47         47          3
        47         47        111
        47         47        451
        47         47        487
        47         47        488
        47         47        523
        48         48        247
        48         48        470
        48         48        634
        49         49        307
        49         49        443
        49         49        470
        49         49        598
        49         49        628
        49         49        723
        49         49        729
        49         49        973
        50         50        506
        50         50        647
        50         50        738
        50         50        764
        51         51          3
        51         51        111
        51         51        451
        51         51        487
        51         51        488
        51         51        523
        52         52          3
        52         52        111
        52         52        451
        52         52        487
        52         52        488
        52         52        523
        53         53          3
        53         53        111
        53         53        451
        53         53        470
        53         53        487
        53         53        488
        53         53        523
        53         53        723
        53         53        973
        54         54        307
        54         54        443
        54         54        470
        54         54        647
        54         54        723
        54         54        738
        54         54        764
        54         54        973
        55         55          3
        55         55        111
        55         55        451
        55         55        487
        55         55        488
        55         55        523
        56         56          3
        56         56        111
        56         56        451
        56         56        487
        56         56        488
        56         56        523
        57         57          3
        57         57        111
        57         57        451
        57         57        487
        57         57        488
        57         57        523
        58         58          3
        58         58        111
        58         58        451
        58         58        487
        58         58        488
        58         58        523
        59         59        570
        59         59        628
        59         59        803
        59         59        826
        59         59        883
        60         60         48
        60         60        470
        60         60        506
        60         60        610
        60         60        885
        60         60        973
        61         61        147
        61         61        647
        61         61        738
        61         61        764
        61         61        857
        62         62        470
        63         63          3
        63         63        111
        63         63        451
        63         63        487
        63         63        488
        63         63        523
        64         64        307
        64         64        443
        64         64        470
        64         64        723
